"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geodata_center";"geoarea";
"8581";"«МЦД Перерва», Иловайская улица (8581)";"37.72074799";"55.66020646";"Иловайская улица";"Юго-Восточный административный округ";"район Люблино";"А625; А646; А749; А35";"МЦД Перерва";"";"нет";"";"активна";"889092708";"{""coordinates"":[37.72074799,55.66020646],""type"":""Point""}";"";
"8583";"«Технологический колледж», улица Полбина (8583)";"37.72144231";"55.66691221";"улица Полбина";"Юго-Восточный административный округ";"район Печатники";"А30; А646";"Технологический колледж";"";"да";"ГУП «Мосгортранс»";"активна";"889092709";"{""coordinates"":[37.72144231,55.66691221],""type"":""Point""}";"";
"8584";"«Школа имени Полбина», улица Полбина (8584)";"37.72955795";"55.68060596";"улица Полбина";"Юго-Восточный административный округ";"район Печатники";"А30; А646";"Школа имени Полбина";"";"да";"ГУП «Мосгортранс»";"активна";"889092710";"{""coordinates"":[37.72955795,55.68060596],""type"":""Point""}";"";
"8585";"«Ул. Полбина, 8», улица Полбина (8585)";"37.73122471";"55.69122549";"улица Полбина";"Юго-Восточный административный округ";"район Печатники";"А646";"Ул. Полбина, 8";"";"да";"ГУП «Мосгортранс»";"активна";"889092711";"{""coordinates"":[37.73122471,55.69122549],""type"":""Point""}";"";
"8588";"«Ул. Полбина, 8», улица Полбина (8588)";"37.7311176";"55.69099569";"улица Полбина";"Юго-Восточный административный округ";"район Печатники";"А646";"Ул. Полбина, 8";"";"да";"ГУП «Мосгортранс»";"активна";"889092712";"{""coordinates"":[37.7311176,55.69099569],""type"":""Point""}";"";
"8590";"«Ул. Марш. Голованова», улица Маршала Голованова (8590)";"37.729075";"55.65099531";"улица Маршала Голованова";"Юго-Восточный административный округ";"район Марьино";"АС9";"Ул. Марш. Голованова";"";"нет";"";"активна";"889092713";"{""coordinates"":[37.729075,55.65099531],""type"":""Point""}";"";
"8591";"«Батайский пр.», Батайский проезд (8591)";"37.70926939";"55.64299245";"Батайский проезд";"Юго-Восточный административный округ";"район Марьино";"А957; А762; А646; А650";"Батайский пр.";"";"да";"ГУП «Мосгортранс»";"активна";"889092714";"{""coordinates"":[37.70926939,55.64299245],""type"":""Point""}";"";
"8595";"«Преображенский рынок», улица Преображенский Вал (8595)";"37.71482117";"55.793697";"улица Преображенский Вал";"Восточный административный округ";"район Преображенское";"Тм11; Тм46; Тм2; Тм36";"Преображенский рынок";"";"да";"ГУП «Мосгортранс»";"активна";"889092718";"{""coordinates"":[37.71482117,55.793697],""type"":""Point""}";"";
"8596";"«Пл. Борьбы», улица Достоевского (8596)";"37.60684896";"55.78444967";"улица Достоевского";"Северо-Восточный административный округ";"район Марьина Роща";"Тм50; Тм7";"Пл. Борьбы";"";"нет";"";"активна";"889092719";"{""coordinates"":[37.60684896,55.78444967],""type"":""Point""}";"";
"8597";"«Щелковское ш.», 15-я Парковая улица (8597)";"37.81708005";"55.81035044";"15-я Парковая улица";"Восточный административный округ";"район Северное Измайлово";"А1013; А52; А97; А449";"Щелковское ш.";"";"да";"ГУП «Мосгортранс»";"активна";"889092720";"{""coordinates"":[37.81708005,55.81035044],""type"":""Point""}";"";
"8598";"«15-я Парковая ул.», 15-я Парковая улица (8598)";"37.81800067";"55.80734358";"15-я Парковая улица";"Восточный административный округ";"район Северное Измайлово";"А1013; А52; А97; А449";"15-я Парковая ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889092721";"{""coordinates"":[37.81800067,55.80734358],""type"":""Point""}";"";
"8601";"«РТУ МИРЭА и Академия при Президенте РФ», улица Коштоянца (8601)";"37.47929005";"55.66881823";"улица Коштоянца";"Западный административный округ";"район Тропарёво-Никулино";"А227; А667";"РТУ МИРЭА и Академия при Президенте РФ";"";"да";"ГУП «Мосгортранс»";"активна";"889092723";"{""coordinates"":[37.47929005,55.66881823],""type"":""Point""}";"";
"8602";"«РТУ МИРЭА и Академия при Президенте РФ», улица Коштоянца (8602)";"37.478701";"55.66919337";"улица Коштоянца";"Западный административный округ";"район Тропарёво-Никулино";"А227; А667";"РТУ МИРЭА и Академия при Президенте РФ";"";"да";"ГУП «Мосгортранс»";"активна";"889092724";"{""coordinates"":[37.478701,55.66919337],""type"":""Point""}";"";
"8603";"«Красноярская ул., 9», Красноярская улица (8603)";"37.83281041";"55.82361306";"Красноярская улица";"Восточный административный округ";"район Гольяново";"А68; А1251к; А627; А557; А627К";"Красноярская ул., 9";"";"нет";"";"активна";"889092725";"{""coordinates"":[37.83281041,55.82361306],""type"":""Point""}";"";
"8606";"«Юрловский пр. (пос.)», Юрловский проезд (8606)";"37.6258767";"55.86587555";"Юрловский проезд";"Северо-Восточный административный округ";"район Отрадное";"А98; АС6; А605; А134; А23";"Юрловский пр. (пос.)";"";"да";"ГУП «Мосгортранс»";"активна";"889092728";"{""coordinates"":[37.6258767,55.86587555],""type"":""Point""}";"";
"8607";"«Главный вход Ботанического сада», улица Комдива Орлова (8607)";"37.58417737";"55.84222179";"улица Комдива Орлова";"Северо-Восточный административный округ";"район Марфино";"А85; А23; АТ29; А238; АТ3";"Главный вход Ботанического сада";"";"да";"ГУП «Мосгортранс»";"активна";"889092729";"{""coordinates"":[37.58417737,55.84222179],""type"":""Point""}";"";
"8608";"«Главный вход Ботанического сада», улица Комдива Орлова (8608)";"37.58508339";"55.84248726";"улица Комдива Орлова";"Северо-Восточный административный округ";"район Марфино";"А85; А23; АТ29; А238; АТ3";"Главный вход Ботанического сада";"";"да";"ГУП «Мосгортранс»";"активна";"889092730";"{""coordinates"":[37.58508339,55.84248726],""type"":""Point""}";"";
"8610";"«Динамовская ул.», Новоспасский проезд (8610)";"37.66152474";"55.72975115";"Новоспасский проезд";"Юго-Восточный административный округ";"Южнопортовый район";"Тм43; Тм12";"Динамовская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889092731";"{""coordinates"":[37.66152474,55.72975115],""type"":""Point""}";"";
"8611";"«Арбатецкая ул.», улица Симоновский Вал (8611)";"37.66331442";"55.72684475";"улица Симоновский Вал";"Юго-Восточный административный округ";"Южнопортовый район";"Тм43; Тм12";"Арбатецкая ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889092732";"{""coordinates"":[37.66331442,55.72684475],""type"":""Point""}";"";
"8612";"«Арбатецкая ул.», улица Симоновский Вал (8612)";"37.66354269";"55.72674768";"улица Симоновский Вал";"Юго-Восточный административный округ";"Южнопортовый район";"Тм43; Тм12";"Арбатецкая ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889092733";"{""coordinates"":[37.66354269,55.72674768],""type"":""Point""}";"";
"8613";"«Динамовская ул.», Новоспасский проезд (8613)";"37.66156425";"55.73006156";"Новоспасский проезд";"Юго-Восточный административный округ";"Южнопортовый район";"Тм43; Тм12";"Динамовская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889092734";"{""coordinates"":[37.66156425,55.73006156],""type"":""Point""}";"";
"8615";"«Ул. Ген. Глаголева (к/ст, выс., пос.)», улица Генерала Глаголева (8615)";"37.46086902";"55.77887903";"улица Генерала Глаголева";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"А155; АТ59";"Ул. Ген. Глаголева (к/ст, выс., пос.)";"";"да";"ГУП «Мосгортранс»";"активна";"889092735";"{""coordinates"":[37.46086902,55.77887903],""type"":""Point""}";"";
"8618";"«Пл. Соловецких Юнг (выс.)», площадь Соловецких Юнг (8618)";"37.83074776";"55.80301664";"площадь Соловецких Юнг";"Восточный административный округ";"район Восточное Измайлово";"А833; А34";"Пл. Соловецких Юнг (выс.)";"";"да";"ГУП «Мосгортранс»";"активна";"889092736";"{""coordinates"":[37.83074776,55.80301664],""type"":""Point""}";"";
